"whichPrime","trialType","rt","response","trial_index","time_elapsed","word","expectedCategory","expectedCategoryAsDisplayed","leftCategory","rightCategory","correct","question_order"
"CisHet","prime","13577"," ","2","22392","","","","","","",""
"","iat","2440","J","5","34851","Pneumonia","Physical illness","Physical illness","Mental illness","Physical illness","false",""
"","iat","1445","F","7","36553","Psychosis","Mental illness","Mental illness","Mental illness","Physical illness","false",""
"","iat","1154","J","9","37963","Meningitis","Physical illness","Physical illness","Mental illness","Physical illness","false",""
"","iat","5366","J","11","43584","Common Cold","Physical illness","Physical illness","Mental illness","Physical illness","false",""
"","iat","1159","F","13","44999","OCD","Mental illness","Mental illness","Mental illness","Physical illness","false",""
"","iat","4512","J","15","49766","Epilepsy","Physical illness","Physical illness","Mental illness","Physical illness","false",""
"","iat","1470","F","17","51491","Anxiety","Mental illness","Mental illness","Mental illness","Physical illness","false",""
"","iat","1017","J","19","52763","Arthritis","Physical illness","Physical illness","Mental illness","Physical illness","false",""
"","iat","961","F","21","53978","Depression","Mental illness","Mental illness","Mental illness","Physical illness","false",""
"","iat","2304","J","23","56537","Pneumonia","Physical illness","Physical illness","Mental illness","Physical illness","false",""
"","iat","1133","J","25","57925","Leukemia","Physical illness","Physical illness","Mental illness","Physical illness","false",""
"","iat","1658","F","27","59838","Panic Disorder","Mental illness","Mental illness","Mental illness","Physical illness","false",""
"","iat","6523","J","29","66615","Autism","Mental illness","Mental illness","Mental illness","Physical illness","false",""
"","iat","2196","F","31","69066","Schizophrenia","Mental illness","Mental illness","Mental illness","Physical illness","false",""
"","iat","2326","J","33","71647","Migraine","Physical illness","Physical illness","Mental illness","Physical illness","false",""
"","iat","9792","J","35","81694","Epilepsy","Physical illness","Physical illness","Mental illness","Physical illness","false",""
"","iat","1284","J","37","83233","Influenza","Physical illness","Physical illness","Mental illness","Physical illness","false",""
"","iat","904","J","39","84390","Influenza","Physical illness","Physical illness","Mental illness","Physical illness","false",""
"","iat","774","J","41","85417","Migraine","Physical illness","Physical illness","Mental illness","Physical illness","false",""
"","iat","1181","F","43","86853","Schizophrenia","Mental illness","Mental illness","Mental illness","Physical illness","false",""
"","iat","955","F","45","88063","Bipolar Disorder","Mental illness","Mental illness","Mental illness","Physical illness","false",""
"","iat","2951","J","47","91269","Asthma","Physical illness","Physical illness","Mental illness","Physical illness","false",""
"","iat","1313","F","49","92835","Psychosis","Mental illness","Mental illness","Mental illness","Physical illness","false",""
"","iat","717","J","51","93806","Common Cold","Physical illness","Physical illness","Mental illness","Physical illness","false",""
"","iat","1230","F","53","95291","PTSD","Mental illness","Mental illness","Mental illness","Physical illness","false",""
"","iat","1167","F","55","96712","Bipolar Disorder","Mental illness","Mental illness","Mental illness","Physical illness","false",""
"","iat","1940","F","57","98907","PTSD","Mental illness","Mental illness","Mental illness","Physical illness","false",""
"","iat","1765","F","59","100926","Autism","Mental illness","Mental illness","Mental illness","Physical illness","false",""
