"whichPrime","trialType","rt","response","trial_index","time_elapsed","word","expectedCategory","expectedCategoryAsDisplayed","leftCategory","rightCategory","correct","question_order"
"Control","prime","98667"," ","2","167310","","","","","","",""
"","iat","1463","f","5","189067","Pneumonia","Physical illness","Physical illness","Physical illness","Mental illness","true",""
"","iat","1059","f","7","190389","Asthma","Physical illness","Physical illness","Physical illness","Mental illness","true",""
"","iat","882","j","9","191539","Bipolar Disorder","Mental illness","Mental illness","Physical illness","Mental illness","true",""
"","iat","907","f","11","192700","Diabetes","Physical illness","Physical illness","Physical illness","Mental illness","true",""
"","iat","1273","f","13","194238","Meningitis","Physical illness","Physical illness","Physical illness","Mental illness","true",""
"","iat","788","f","15","195292","Influenza","Physical illness","Physical illness","Physical illness","Mental illness","true",""
"","iat","1352","f","17","196903","Leukemia","Physical illness","Physical illness","Physical illness","Mental illness","true",""
"","iat","1499","f","19","198660","Meningitis","Physical illness","Physical illness","Physical illness","Mental illness","true",""
"","iat","1072","f","21","199988","Common Cold","Physical illness","Physical illness","Physical illness","Mental illness","true",""
"","iat","980","j","23","201227","Schizophrenia","Mental illness","Mental illness","Physical illness","Mental illness","true",""
"","iat","1094","f","25","202574","Asthma","Physical illness","Physical illness","Physical illness","Mental illness","true",""
"","iat","885","j","27","203724","PTSD","Mental illness","Mental illness","Physical illness","Mental illness","true",""
"","iat","755","j","29","204736","Anxiety","Mental illness","Mental illness","Physical illness","Mental illness","true",""
"","iat","798","f","31","205789","Common Cold","Physical illness","Physical illness","Physical illness","Mental illness","true",""
"","iat","871","f","33","206927","Leukemia","Physical illness","Physical illness","Physical illness","Mental illness","true",""
"","iat","787","f","35","207967","Diabetes","Physical illness","Physical illness","Physical illness","Mental illness","true",""
"","iat","2139","j","37","210365","Panic Disorder","Mental illness","Mental illness","Physical illness","Mental illness","true",""
"","iat","1178","j","39","211809","Anorexia","Mental illness","Mental illness","Physical illness","Mental illness","true",""
"","iat","1424","j","41","213486","Depression","Mental illness","Mental illness","Physical illness","Mental illness","true",""
"","iat","722","j","43","214472","Autism","Mental illness","Mental illness","Physical illness","Mental illness","true",""
"","iat","1502","f","45","216226","Pneumonia","Physical illness","Physical illness","Physical illness","Mental illness","true",""
"","iat","812","j","47","217302","Psychosis","Mental illness","Mental illness","Physical illness","Mental illness","true",""
"","iat","752","f","49","218312","Arthritis","Physical illness","Physical illness","Physical illness","Mental illness","true",""
"","iat","3545","f","51","222116","Migraine","Physical illness","Physical illness","Physical illness","Mental illness","true",""
"","iat","753","j","53","223125","Psychosis","Mental illness","Mental illness","Physical illness","Mental illness","true",""
"","iat","841","j","55","224230","Depression","Mental illness","Mental illness","Physical illness","Mental illness","true",""
"","iat","2280","j","57","226775","Anorexia","Mental illness","Mental illness","Physical illness","Mental illness","true",""
"","iat","1171","f","59","228214","Influenza","Physical illness","Physical illness","Physical illness","Mental illness","true",""
