"whichPrime","trialType","rt","response","trial_index","time_elapsed","word","expectedCategory","expectedCategoryAsDisplayed","leftCategory","rightCategory","correct","question_order"
"Control","prime","12424"," ","2","222045","","","","","","",""
"","iat","5347","f","5","238289","Hetero","Cishet","Cishet","Cishet","LGBTQ+","true",""
"","iat","1329","f","7","239874","Cisgendered","Cishet","Cishet","Cishet","LGBTQ+","true",""
"","iat","2057","j","9","242187","Transgender","LGBTQ+","LGBTQ+","Cishet","LGBTQ+","true",""
"","iat","2498","f","11","244939","Traditional","Cishet","Cishet","Cishet","LGBTQ+","true",""
"","iat","1465","j","13","246659","Fluidity","LGBTQ+","LGBTQ+","Cishet","LGBTQ+","true",""
"","iat","817","j","15","247730","Bisexual","LGBTQ+","LGBTQ+","Cishet","LGBTQ+","true",""
"","iat","687","j","17","248672","Genderqueer","LGBTQ+","LGBTQ+","Cishet","LGBTQ+","true",""
"","iat","884","f","19","249811","Heteronormative","Cishet","Cishet","Cishet","LGBTQ+","true",""
"","iat","2265","f","21","252330","Conformity","Cishet","Cishet","Cishet","LGBTQ+","true",""
"","iat","820","j","23","253405","Nonbinary","LGBTQ+","LGBTQ+","Cishet","LGBTQ+","true",""
"","iat","633","j","25","254291","Bisexual","LGBTQ+","LGBTQ+","Cishet","LGBTQ+","true",""
"","iat","762","j","27","255308","Genderqueer","LGBTQ+","LGBTQ+","Cishet","LGBTQ+","true",""
"","iat","560","j","29","256122","Pansexual","LGBTQ+","LGBTQ+","Cishet","LGBTQ+","true",""
"","iat","2052","j","31","258427","Inclusivity","LGBTQ+","LGBTQ+","Cishet","LGBTQ+","true",""
"","iat","659","f","33","259340","Traditional","Cishet","Cishet","Cishet","LGBTQ+","true",""
"","iat","608","f","35","260203","Hetero","Cishet","Cishet","Cishet","LGBTQ+","true",""
"","iat","2051","j","37","262509","Diversity","LGBTQ+","LGBTQ+","Cishet","LGBTQ+","true",""
"","iat","648","f","39","263412","Straight","Cishet","Cishet","Cishet","LGBTQ+","true",""
"","iat","412","f","41","264078","Straight","Cishet","Cishet","Cishet","LGBTQ+","true",""
"","iat","844","f","43","265176","Heterosexual","Cishet","Cishet","Cishet","LGBTQ+","true",""
"","iat","988","f","45","266418","Cissexual","Cishet","Cishet","Cishet","LGBTQ+","true",""
"","iat","606","f","47","267278","Heteronormative","Cishet","Cishet","Cishet","LGBTQ+","true",""
"","iat","574","j","49","268106","Pansexual","LGBTQ+","LGBTQ+","Cishet","LGBTQ+","true",""
"","iat","1747","f","51","270108","Usual","Cishet","Cishet","Cishet","LGBTQ+","true",""
"","iat","1510","j","53","271872","Androgynous","LGBTQ+","LGBTQ+","Cishet","LGBTQ+","true",""
"","iat","693","f","55","272820","Usual","Cishet","Cishet","Cishet","LGBTQ+","true",""
"","iat","4126","j","57","277200","Conformity","Cishet","Cishet","Cishet","LGBTQ+","false",""
"","iat","1179","j","59","278633","Fluidity","LGBTQ+","LGBTQ+","Cishet","LGBTQ+","true",""
"","iat","2641","j","61","281528","Nonbinary","LGBTQ+","LGBTQ+","Cishet","LGBTQ+","true",""
"","iat","1042","j","63","282826","Inclusivity","LGBTQ+","LGBTQ+","Cishet","LGBTQ+","true",""
"","iat","632","j","65","283712","Queerness","LGBTQ+","LGBTQ+","Cishet","LGBTQ+","true",""
"","iat","874","f","67","284839","Biological","Cishet","Cishet","Cishet","LGBTQ+","true",""
"","iat","618","j","69","285711","Androgynous","LGBTQ+","LGBTQ+","Cishet","LGBTQ+","true",""
"","iat","712","f","71","286678","Cisgendered","Cishet","Cishet","Cishet","LGBTQ+","true",""
"","iat","581","f","73","287514","Cissexual","Cishet","Cishet","Cishet","LGBTQ+","true",""
"","iat","530","j","75","288297","Queerness","LGBTQ+","LGBTQ+","Cishet","LGBTQ+","true",""
"","iat","1849","f","78","294235","Leukemia","Physical illness","Physical illness","Physical illness","Mental illness","true",""
"","iat","742","j","80","295232","Bipolar Disorder","Mental illness","Mental illness","Physical illness","Mental illness","true",""
"","iat","817","j","82","296303","Anxiety","Mental illness","Mental illness","Physical illness","Mental illness","true",""
"","iat","828","f","84","297385","Asthma","Physical illness","Physical illness","Physical illness","Mental illness","true",""
"","iat","2670","j","86","300309","Epilepsy","Physical illness","Physical illness","Physical illness","Mental illness","false",""
"","iat","710","j","88","301274","Psychosis","Mental illness","Mental illness","Physical illness","Mental illness","true",""
"","iat","775","j","90","302303","Autism","Mental illness","Mental illness","Physical illness","Mental illness","true",""
"","iat","785","j","92","303343","Panic Disorder","Mental illness","Mental illness","Physical illness","Mental illness","true",""
"","iat","685","j","94","304281","PTSD","Mental illness","Mental illness","Physical illness","Mental illness","true",""
"","iat","545","j","96","305081","Anxiety","Mental illness","Mental illness","Physical illness","Mental illness","true",""
"","iat","901","f","98","306236","Pneumonia","Physical illness","Physical illness","Physical illness","Mental illness","true",""
"","iat","22387","j","100","328877","Schizophrenia","Mental illness","Mental illness","Physical illness","Mental illness","true",""
"","iat","1140","f","102","330271","Anorexia","Mental illness","Mental illness","Physical illness","Mental illness","false",""
"","iat","692","f","104","331216","Leukemia","Physical illness","Physical illness","Physical illness","Mental illness","true",""
"","iat","1782","j","106","333253","Schizophrenia","Mental illness","Mental illness","Physical illness","Mental illness","true",""
"","iat","504","j","108","334012","Autism","Mental illness","Mental illness","Physical illness","Mental illness","true",""
"","iat","1069","f","110","335336","Meningitis","Physical illness","Physical illness","Physical illness","Mental illness","true",""
"","iat","1075","f","112","336666","Diabetes","Physical illness","Physical illness","Physical illness","Mental illness","true",""
"","iat","959","f","114","337879","Migraine","Physical illness","Physical illness","Physical illness","Mental illness","true",""
"","iat","638","f","116","338771","Migraine","Physical illness","Physical illness","Physical illness","Mental illness","true",""
"","iat","769","f","118","339794","Common Cold","Physical illness","Physical illness","Physical illness","Mental illness","true",""
