"whichPrime","trialType","rt","response","trial_index","time_elapsed","word","expectedCategory","expectedCategoryAsDisplayed","leftCategory","rightCategory","correct","question_order"
"Queer","prime","60684"," ","2","78123","","","","","","",""
"","iat","1657","f","5","118385","Pansexual","LGBTQ+","LGBTQ+","LGBTQ+","Cishet","true",""
"","iat","811","f","7","119452","Queerness","LGBTQ+","LGBTQ+","LGBTQ+","Cishet","true",""
"","iat","1105","f","9","120814","Androgynous","LGBTQ+","LGBTQ+","LGBTQ+","Cishet","true",""
"","iat","907","j","11","121977","Heterosexual","Cishet","Cishet","LGBTQ+","Cishet","true",""
"","iat","6114","f","13","128346","Inclusivity","LGBTQ+","LGBTQ+","LGBTQ+","Cishet","true",""
"","iat","1239","j","15","129839","Heteronormative","Cishet","Cishet","LGBTQ+","Cishet","true",""
"","iat","2547","j","17","132641","Usual","Cishet","Cishet","LGBTQ+","Cishet","true",""
"","iat","2189","f","19","135087","Genderqueer","LGBTQ+","LGBTQ+","LGBTQ+","Cishet","true",""
"","iat","1156","j","21","136498","Cissexual","Cishet","Cishet","LGBTQ+","Cishet","true",""
"","iat","792","f","23","137545","Fluidity","LGBTQ+","LGBTQ+","LGBTQ+","Cishet","true",""
"","iat","666","f","25","138467","Pansexual","LGBTQ+","LGBTQ+","LGBTQ+","Cishet","true",""
"","iat","2981","j","27","141704","Biological","Cishet","Cishet","LGBTQ+","Cishet","true",""
"","iat","756","j","29","142715","Straight","Cishet","Cishet","LGBTQ+","Cishet","true",""
"","iat","1003","j","31","143974","Usual","Cishet","Cishet","LGBTQ+","Cishet","true",""
"","iat","782","f","33","145011","Transgender","LGBTQ+","LGBTQ+","LGBTQ+","Cishet","true",""
"","iat","827","j","35","146094","Cisgendered","Cishet","Cishet","LGBTQ+","Cishet","true",""
"","iat","601","f","37","146952","Bisexual","LGBTQ+","LGBTQ+","LGBTQ+","Cishet","true",""
"","iat","2361","j","39","149569","Traditional","Cishet","Cishet","LGBTQ+","Cishet","true",""
"","iat","1564","j","41","151388","Conformity","Cishet","Cishet","LGBTQ+","Cishet","true",""
"","iat","1376","j","43","153018","Straight","Cishet","Cishet","LGBTQ+","Cishet","true",""
"","iat","751","f","45","154026","Diversity","LGBTQ+","LGBTQ+","LGBTQ+","Cishet","true",""
"","iat","726","j","47","155008","Cisgendered","Cishet","Cishet","LGBTQ+","Cishet","true",""
"","iat","1093","f","49","156356","Nonbinary","LGBTQ+","LGBTQ+","LGBTQ+","Cishet","true",""
"","iat","687","f","51","157300","Diversity","LGBTQ+","LGBTQ+","LGBTQ+","Cishet","true",""
"","iat","569","f","53","158124","Bisexual","LGBTQ+","LGBTQ+","LGBTQ+","Cishet","true",""
"","iat","637","j","55","159017","Traditional","Cishet","Cishet","LGBTQ+","Cishet","true",""
"","iat","837","j","57","160110","Conformity","Cishet","Cishet","LGBTQ+","Cishet","true",""
"","iat","951","j","59","161317","Cissexual","Cishet","Cishet","LGBTQ+","Cishet","true",""
"","iat","1167","f","61","162739","Genderqueer","LGBTQ+","LGBTQ+","LGBTQ+","Cishet","true",""
"","iat","838","j","63","163833","Heteronormative","Cishet","Cishet","LGBTQ+","Cishet","true",""
"","iat","1306","j","65","165394","Biological","Cishet","Cishet","LGBTQ+","Cishet","true",""
"","iat","1395","f","67","167045","Inclusivity","LGBTQ+","LGBTQ+","LGBTQ+","Cishet","true",""
"","iat","1454","f","69","168755","Queerness","LGBTQ+","LGBTQ+","LGBTQ+","Cishet","true",""
"","iat","713","f","71","169724","Transgender","LGBTQ+","LGBTQ+","LGBTQ+","Cishet","true",""
"","iat","821","f","73","170801","Nonbinary","LGBTQ+","LGBTQ+","LGBTQ+","Cishet","true",""
"","iat","751","j","75","171807","Hetero","Cishet","Cishet","LGBTQ+","Cishet","true",""
"","iat","4196","j","78","184779","Epilepsy","Physical illness","Physical illness","Mental illness","Physical illness","true",""
"","iat","2461","j","80","187495","Common Cold","Physical illness","Physical illness","Mental illness","Physical illness","true",""
"","iat","1139","f","82","188890","Schizophrenia","Mental illness","Mental illness","Mental illness","Physical illness","true",""
"","iat","782","j","84","189927","Influenza","Physical illness","Physical illness","Mental illness","Physical illness","true",""
"","iat","607","f","86","190790","Anxiety","Mental illness","Mental illness","Mental illness","Physical illness","true",""
"","iat","874","f","88","191919","Panic Disorder","Mental illness","Mental illness","Mental illness","Physical illness","true",""
"","iat","1867","j","90","194041","Leukemia","Physical illness","Physical illness","Mental illness","Physical illness","true",""
"","iat","5546","f","92","199842","Bipolar Disorder","Mental illness","Mental illness","Mental illness","Physical illness","true",""
"","iat","724","j","94","200822","Epilepsy","Physical illness","Physical illness","Mental illness","Physical illness","true",""
"","iat","1513","f","96","202590","Panic Disorder","Mental illness","Mental illness","Mental illness","Physical illness","true",""
"","iat","833","j","98","203679","Common Cold","Physical illness","Physical illness","Mental illness","Physical illness","true",""
"","iat","1107","f","100","205040","PTSD","Mental illness","Mental illness","Mental illness","Physical illness","true",""
"","iat","3095","f","102","208391","Psychosis","Mental illness","Mental illness","Mental illness","Physical illness","true",""
"","iat","868","f","104","209514","OCD","Mental illness","Mental illness","Mental illness","Physical illness","true",""
"","iat","1197","j","106","210966","Pneumonia","Physical illness","Physical illness","Mental illness","Physical illness","true",""
"","iat","765","j","108","211987","Arthritis","Physical illness","Physical illness","Mental illness","Physical illness","true",""
"","iat","607","j","110","212850","Arthritis","Physical illness","Physical illness","Mental illness","Physical illness","true",""
"","iat","769","j","112","213874","Leukemia","Physical illness","Physical illness","Mental illness","Physical illness","true",""
"","iat","755","f","114","214885","Autism","Mental illness","Mental illness","Mental illness","Physical illness","true",""
"","iat","678","f","116","215819","Depression","Mental illness","Mental illness","Mental illness","Physical illness","true",""
"","iat","758","f","118","216833","Migraine","Physical illness","Physical illness","Mental illness","Physical illness","false",""
"","iat","2730","j","120","219818","Asthma","Physical illness","Physical illness","Mental illness","Physical illness","true",""
"","iat","1015","j","122","221089","Meningitis","Physical illness","Physical illness","Mental illness","Physical illness","true",""
"","iat","4654","f","124","225999","Psychosis","Mental illness","Mental illness","Mental illness","Physical illness","true",""
