"whichPrime","trialType","rt","response","trial_index","time_elapsed","word","expectedCategory","expectedCategoryAsDisplayed","leftCategory","rightCategory","correct","question_order"
"Queer","prime","15583"," ","2","38010","","","","","","",""
"","iat","1639","j","5","51112","Diabetes","Physical illness","Physical illness","Mental illness","Physical illness","true",""
"","iat","660","f","7","52030","Schizophrenia","Mental illness","Mental illness","Mental illness","Physical illness","true",""
"","iat","913","j","9","53200","Influenza","Physical illness","Physical illness","Mental illness","Physical illness","true",""
"","iat","648","j","11","54103","Pneumonia","Physical illness","Physical illness","Mental illness","Physical illness","true",""
"","iat","572","f","13","54931","PTSD","Mental illness","Mental illness","Mental illness","Physical illness","true",""
"","iat","589","f","15","55777","Schizophrenia","Mental illness","Mental illness","Mental illness","Physical illness","true",""
"","iat","523","f","17","56554","OCD","Mental illness","Mental illness","Mental illness","Physical illness","true",""
"","iat","566","j","19","57375","Influenza","Physical illness","Physical illness","Mental illness","Physical illness","true",""
"","iat","608","f","21","58238","Bipolar Disorder","Mental illness","Mental illness","Mental illness","Physical illness","true",""
"","iat","587","j","23","59079","Migraine","Physical illness","Physical illness","Mental illness","Physical illness","true",""
"","iat","566","j","25","59900","Epilepsy","Physical illness","Physical illness","Mental illness","Physical illness","true",""
"","iat","2411","j","27","62568","Common Cold","Physical illness","Physical illness","Mental illness","Physical illness","true",""
"","iat","917","f","29","63739","Depression","Mental illness","Mental illness","Mental illness","Physical illness","true",""
"","iat","815","j","31","64807","Meningitis","Physical illness","Physical illness","Mental illness","Physical illness","true",""
"","iat","613","f","33","65675","Anxiety","Mental illness","Mental illness","Mental illness","Physical illness","true",""
"","iat","522","f","35","66450","PTSD","Mental illness","Mental illness","Mental illness","Physical illness","true",""
"","iat","682","j","37","67386","Migraine","Physical illness","Physical illness","Mental illness","Physical illness","true",""
"","iat","688","f","39","68329","Autism","Mental illness","Mental illness","Mental illness","Physical illness","true",""
"","iat","546","j","41","69129","Pneumonia","Physical illness","Physical illness","Mental illness","Physical illness","true",""
"","iat","668","f","43","70050","Panic Disorder","Mental illness","Mental illness","Mental illness","Physical illness","true",""
"","iat","762","j","45","71066","Arthritis","Physical illness","Physical illness","Mental illness","Physical illness","true",""
"","iat","542","f","47","71862","Autism","Mental illness","Mental illness","Mental illness","Physical illness","true",""
"","iat","610","f","49","72726","Bipolar Disorder","Mental illness","Mental illness","Mental illness","Physical illness","true",""
"","iat","698","j","51","73681","Leukemia","Physical illness","Physical illness","Mental illness","Physical illness","true",""
"","iat","896","f","53","74835","Depression","Mental illness","Mental illness","Mental illness","Physical illness","true",""
"","iat","1116","j","55","76221","Diabetes","Physical illness","Physical illness","Mental illness","Physical illness","true",""
"","iat","667","f","57","77142","Psychosis","Mental illness","Mental illness","Mental illness","Physical illness","true",""
"","iat","499","f","59","77895","Anorexia","Mental illness","Mental illness","Mental illness","Physical illness","true",""
"","iat","1857","j","61","80007","Epilepsy","Physical illness","Physical illness","Mental illness","Physical illness","true",""
"","iat","2234","j","63","82495","Meningitis","Physical illness","Physical illness","Mental illness","Physical illness","true",""
"","iat","491","f","65","83241","OCD","Mental illness","Mental illness","Mental illness","Physical illness","true",""
"","iat","654","j","67","84148","Leukemia","Physical illness","Physical illness","Mental illness","Physical illness","true",""
"","iat","994","j","69","85395","Asthma","Physical illness","Physical illness","Mental illness","Physical illness","true",""
"","iat","646","f","71","86296","Panic Disorder","Mental illness","Mental illness","Mental illness","Physical illness","true",""
